[03:57:44] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.14
[03:57:44] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.14
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[03:57:44] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/Minecraft/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.5+mixin.0.8.7/sponge-mixin-0.15.5+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[03:57:49] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:57:51] [main/INFO]: Loaded 7 recipes
[03:57:51] [main/INFO]: Loaded 1271 advancements
[03:57:51] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:57:51] [Server thread/INFO]: Loading properties
[03:57:51] [Server thread/INFO]: Default game type: SURVIVAL
[03:57:51] [Server thread/INFO]: Generating keypair
[03:57:51] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:57:52] [Server thread/INFO]: Using epoll channel type
[03:57:52] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:57:52] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:57:52] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:57:52] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:57:52] [Server thread/INFO]: Preparing level "world"
[03:57:57] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:57:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:57:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:57:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:57:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[03:57:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:58:00] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[03:58:00] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[03:58:01] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[03:58:01] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[03:58:02] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[03:58:02] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[03:58:03] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[03:58:03] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[03:58:04] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[03:58:04] [Worker-Main-3/INFO]: Preparing spawn area: 14%
[03:58:05] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[03:58:05] [Worker-Main-1/INFO]: Preparing spawn area: 19%
[03:58:06] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[03:58:06] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[03:58:07] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[03:58:07] [Worker-Main-1/INFO]: Preparing spawn area: 30%
[03:58:08] [Worker-Main-1/INFO]: Preparing spawn area: 31%
[03:58:08] [Worker-Main-1/INFO]: Preparing spawn area: 32%
[03:58:09] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[03:58:09] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[03:58:10] [Worker-Main-3/INFO]: Preparing spawn area: 40%
[03:58:10] [Worker-Main-3/INFO]: Preparing spawn area: 42%
[03:58:11] [Worker-Main-3/INFO]: Preparing spawn area: 45%
[03:58:11] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[03:58:12] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[03:58:12] [Worker-Main-1/INFO]: Preparing spawn area: 52%
[03:58:13] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[03:58:13] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[03:58:14] [Worker-Main-1/INFO]: Preparing spawn area: 59%
[03:58:14] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[03:58:15] [Worker-Main-1/INFO]: Preparing spawn area: 67%
[03:58:15] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[03:58:16] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[03:58:16] [Worker-Main-1/INFO]: Preparing spawn area: 75%
[03:58:17] [Worker-Main-3/INFO]: Preparing spawn area: 79%
[03:58:17] [Worker-Main-1/INFO]: Preparing spawn area: 82%
[03:58:18] [Worker-Main-3/INFO]: Preparing spawn area: 84%
[03:58:18] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[03:58:19] [Worker-Main-3/INFO]: Preparing spawn area: 90%
[03:58:19] [Worker-Main-3/INFO]: Preparing spawn area: 94%
[03:58:20] [Worker-Main-1/INFO]: Preparing spawn area: 98%
[03:58:20] [Server thread/INFO]: Time elapsed: 22665 ms
[03:58:20] [Server thread/INFO]: Done (28.212s)! For help, type "help"
